generation,best_distance,avg_distance
0,2801.970545313478,3453.0717637492453
1,2524.621603807509,3306.6564232634823
2,2524.621603807509,3182.694574310918
3,2451.051812933775,3080.198222880088
4,2451.051812933775,3015.0554100521813
5,2354.2737907954915,2930.559933816439
6,2354.2737907954915,2854.0695841173774
7,2331.080508031616,2782.1160632137708
8,2144.6181974651813,2738.08862216059
9,2144.6181974651813,2686.4553147407714
10,2144.6181974651813,2609.663213892091
11,2144.6181974651813,2621.0846785869253
12,2144.6181974651813,2651.1633024426696
13,2086.756496471374,2623.7995473884953
14,2008.1431613727596,2629.721907725737
15,2008.1431613727596,2559.429913797484
16,2008.1431613727596,2508.909026608382
17,1976.0456828249655,2494.655634232549
18,1976.0456828249655,2499.6511568882615
19,1976.0456828249655,2503.364434938526
20,1976.0456828249655,2482.89273633257
21,1976.0456828249655,2466.9728732194685
22,1976.0456828249655,2427.139560067704
23,1976.0456828249655,2423.8430819786386
24,1976.0456828249655,2418.954924959426
25,1976.0456828249655,2397.824070281022
26,1961.7534336577964,2411.3805551632254
27,1961.7534336577964,2388.2069741936157
28,1961.7534336577964,2393.5520449625396
29,1961.7534336577964,2409.200293989002
30,1961.7534336577964,2446.498775561403
31,1943.9721035405312,2472.5453950218457
32,1943.9721035405312,2466.505533895019
33,1943.9721035405312,2439.521570305513
34,1943.9721035405312,2443.1506000776712
35,1943.9721035405312,2415.0876883866376
36,1943.9721035405312,2388.771498043907
37,1943.9721035405312,2388.4489282332593
38,1943.9721035405312,2380.524649195405
39,1943.9721035405312,2375.7188245409393
40,1943.9721035405312,2434.9913456715976
41,1943.9721035405312,2408.0514197256434
42,1943.9721035405312,2399.1215259651035
43,1943.9721035405312,2374.786591090582
44,1943.9721035405312,2415.130950789111
45,1943.9721035405312,2426.609470979594
46,1931.229379873338,2394.2877348665747
47,1931.229379873338,2382.320331452095
48,1931.229379873338,2392.7155854563716
49,1920.766364606685,2408.4584436253263
50,1865.3041119514849,2413.0691143793847
51,1865.3041119514849,2436.565238126386
52,1865.3041119514849,2393.1704831146476
53,1865.3041119514849,2463.3185248812656
54,1865.3041119514849,2434.783604404154
55,1865.3041119514849,2413.033891642815
56,1865.3041119514849,2445.5982828641704
