generation,best_distance,avg_distance
0,2801.970545313478,3453.0717637492453
1,2524.621603807509,3294.0961030977323
2,2509.519379764435,3163.9701302441404
3,2467.92981005198,3052.1700123105575
4,2446.430630658648,2947.665773021359
5,2402.8071341931077,2892.591951831818
6,2290.4571712015627,2773.1651238642385
7,2290.4571712015627,2742.513336272474
8,2290.4571712015627,2704.2981923970697
9,2257.9929449771885,2676.388522922103
10,2168.6745557066747,2671.3026998862506
11,2153.8869826601795,2617.633318460506
12,2127.1170429741055,2576.8609212399924
13,2062.681426944005,2567.860491099346
14,1972.6685104668245,2501.092898294507
15,1969.788463087982,2473.0058096798057
16,1952.5169010811385,2444.5121805725116
17,1908.04886979203,2436.292120820542
18,1908.04886979203,2469.241302502267
19,1908.04886979203,2449.2478902343355
20,1908.04886979203,2445.759810423145
21,1907.273938758351,2372.1219906267256
22,1842.2730160939582,2325.91842785293
23,1842.2730160939582,2279.1876698106225
24,1842.2730160939582,2291.3265933953803
25,1842.2730160939582,2289.7544506873073
26,1842.2730160939582,2307.1989427802246
27,1839.0926718900846,2255.3556392552778
28,1752.0866405721729,2229.6335424854287
29,1752.0866405721729,2241.669688060343
30,1750.716240233391,2252.905553629512
31,1750.716240233391,2207.8848114365264
32,1750.716240233391,2198.49359128706
33,1750.716240233391,2196.182120341472
34,1750.716240233391,2154.818179315646
35,1729.016559248602,2171.3076183091734
36,1729.016559248602,2186.724658720287
37,1729.016559248602,2197.022527460529
38,1729.016559248602,2162.6399297477024
39,1729.016559248602,2154.5004521079127
40,1729.016559248602,2169.441728648919
41,1729.016559248602,2163.878616931592
42,1729.016559248602,2180.6169863769524
43,1729.016559248602,2156.350999482595
44,1729.016559248602,2157.792626998558
45,1729.016559248602,2172.382626803852
46,1729.016559248602,2157.9962551658728
47,1729.016559248602,2213.8016817590424
48,1713.2066920242205,2206.9287813311807
49,1639.8838331421364,2198.3570997622714
50,1639.8838331421364,2163.605548181162
51,1639.8838331421364,2165.797369333445
52,1639.8838331421364,2141.289981229349
53,1639.8838331421364,2132.643197027279
54,1639.8838331421364,2150.2313186890556
55,1639.8838331421364,2152.2242318853664
56,1639.8838331421364,2139.3846409348685
57,1639.8838331421364,2171.0075015672282
58,1639.8838331421364,2168.0532707920866
59,1639.8838331421364,2131.1134855227688
60,1639.8838331421364,2133.246799875998
61,1639.8838331421364,2129.5536770999497
62,1639.8838331421364,2117.7392041713365
63,1639.8838331421364,2121.8252642243087
64,1639.8838331421364,2127.7231298383463
65,1639.8838331421364,2060.8661553676734
66,1639.8838331421364,2042.468747472534
67,1639.8838331421364,2020.0381259997314
68,1639.8838331421364,2066.452629209141
69,1639.8838331421364,2093.230788267848
70,1639.8838331421364,2099.8391070819735
71,1639.8838331421364,2105.450121486025
72,1639.8838331421364,2120.078119157586
73,1624.67559741369,2129.326041222279
74,1624.67559741369,2133.382309706886
75,1624.67559741369,2125.4686001249815
76,1624.67559741369,2129.5042858687902
77,1599.755836658322,2162.004274690193
78,1599.755836658322,2159.0170440315214
79,1599.755836658322,2143.591291059487
80,1599.755836658322,2138.1026037501365
81,1599.755836658322,2100.056949561054
82,1599.755836658322,2050.106370132155
83,1599.755836658322,2034.4390686603326
84,1599.755836658322,2026.433472517597
85,1599.755836658322,2018.7326483889008
86,1599.755836658322,2025.161945361782
87,1599.755836658322,2069.847722424177
88,1599.755836658322,2050.162394633293
89,1599.755836658322,2077.8704750252173
90,1599.755836658322,2080.7179540263046
91,1599.755836658322,2119.364985642653
92,1599.755836658322,2120.8523006863556
93,1599.755836658322,2118.3857737838466
94,1599.755836658322,2122.256351040595
95,1599.755836658322,2113.6811660456447
96,1599.755836658322,2054.5811181226613
97,1599.755836658322,2066.8892726890654
98,1599.755836658322,2054.801696042112
99,1599.755836658322,2061.856392578212
100,1599.755836658322,2037.9592629444312
101,1599.755836658322,2026.5261272224107
102,1599.755836658322,1995.1312688834744
103,1599.755836658322,2010.148354816125
104,1599.755836658322,1983.1076315642242
105,1599.755836658322,2020.3177192346193
106,1599.755836658322,2077.663052596205
107,1599.755836658322,2108.0646656463114
108,1599.755836658322,2113.7031025251044
109,1599.755836658322,2063.2480362705965
110,1599.755836658322,2087.6651789091834
111,1599.755836658322,2117.9399606211446
112,1599.755836658322,2139.3159891088344
113,1599.755836658322,2095.023681285454
114,1599.755836658322,2139.11827530473
115,1599.755836658322,2143.168582237195
116,1599.755836658322,2081.8526465948376
117,1599.755836658322,2110.177625339118
118,1599.755836658322,2095.066192409942
119,1594.4103710188529,2064.3423616862237
120,1594.4103710188529,2068.3919218293595
121,1594.4103710188529,2067.0930071311977
122,1594.4103710188529,2091.182376425685
123,1594.4103710188529,2123.33648062022
124,1594.4103710188529,2113.150721909278
125,1594.4103710188529,2138.4068538593147
126,1594.4103710188529,2113.4689530632854
127,1594.4103710188529,2121.1516325304456
128,1594.4103710188529,2126.817574849758
129,1594.4103710188529,2111.549636950555
130,1594.4103710188529,2132.0259997902162
131,1594.4103710188529,2128.4034544785245
132,1594.4103710188529,2109.4770665323217
133,1594.4103710188529,2098.024136660853
134,1589.6614042104175,2092.404480600862
135,1589.6614042104175,2047.6114484709822
136,1567.8460021033666,1991.869594254372
137,1567.8460021033666,1976.930098678232
138,1567.8460021033666,2008.0943653945274
139,1567.8460021033666,2059.5001247969026
140,1567.8460021033666,2047.9762645446679
141,1567.8460021033666,2058.0169284115154
142,1567.8460021033666,2068.2846837082648
143,1567.8460021033666,2116.335583245193
144,1567.8460021033666,2108.6315045489014
145,1567.8460021033666,2058.334632297356
146,1567.8460021033666,2049.410730948457
147,1567.8460021033666,2019.7439424556596
148,1567.8460021033666,1963.8437089069575
149,1567.8460021033666,1976.8211222787918
150,1567.8460021033666,1974.0352849461187
151,1567.8460021033666,2024.0605264767335
152,1567.8460021033666,2073.2121073204967
153,1567.8460021033666,2074.1795004889914
154,1567.8460021033666,2093.5901328770556
155,1567.8460021033666,2004.5427241139596
156,1567.8460021033666,2010.0134048312168
157,1567.8460021033666,1982.9142385363216
158,1567.8460021033666,1993.8761853590859
159,1567.8460021033666,1969.9944702975026
160,1567.8460021033666,2027.2011276864819
161,1567.8460021033666,1998.35373171642
162,1567.8460021033666,2039.6702656048399
163,1567.8460021033666,2021.4594684649753
164,1567.8460021033666,2005.1306292758586
165,1567.8460021033666,1968.124547907006
166,1567.8460021033666,2015.1514936007368
167,1567.8460021033666,2040.7837990329235
168,1567.8460021033666,2058.762934907839
169,1567.8460021033666,2085.19172982627
170,1567.8460021033666,2076.7994675282443
171,1567.8460021033666,2041.951839077705
172,1567.8460021033666,2010.0601843837474
173,1567.8460021033666,1979.8280735150454
174,1567.8460021033666,1982.6840407320728
175,1567.8460021033666,2006.0312632848054
176,1567.8460021033666,1975.362456670567
