generation,best_distance,avg_distance
0,2801.970545313478,3453.0717637492453
1,2653.675441829974,3429.649744073737
2,2653.675441829974,3405.8992942802724
3,2653.675441829974,3406.568968288499
4,2653.675441829974,3363.1499217205287
5,2653.675441829974,3371.518992519164
6,2653.675441829974,3342.0065420426645
7,2541.71286833371,3328.7320898157054
8,2541.71286833371,3312.4541093094203
9,2541.71286833371,3310.601957213637
10,2541.71286833371,3313.530360210638
11,2541.71286833371,3272.018476636139
12,2541.71286833371,3243.990595498422
13,2416.3867724978963,3209.5886840120324
14,2416.3867724978963,3187.3012260378896
15,2416.3867724978963,3144.4751796454716
16,2416.3867724978963,3132.9483635372953
17,2416.3867724978963,3143.862334793055
18,2416.3867724978963,3080.6413893154067
19,2416.3867724978963,3143.5869062842194
20,2412.6059408758324,3186.9712769057637
21,2412.6059408758324,3215.0831295042026
22,2381.198550694301,3267.220129477955
23,2381.198550694301,3265.593259138639
24,2381.198550694301,3284.8708274836185
25,2350.076063168164,3227.4602701164386
26,2350.076063168164,3247.203542023406
27,2350.076063168164,3224.201057554543
28,2350.076063168164,3205.027243176949
29,2336.632249012094,3142.4032431838805
30,2336.632249012094,3138.7081635319278
31,2336.632249012094,3129.399702571476
32,2336.632249012094,3090.213077739711
33,2291.034920043979,3127.039912853128
34,2291.034920043979,3125.030588926454
35,2291.034920043979,3165.08376569189
36,2291.034920043979,3138.8036362141997
37,2291.034920043979,3127.8467164299677
38,2291.034920043979,3136.5319792470154
39,2291.034920043979,3195.102105360963
40,2291.034920043979,3168.03115464786
41,2255.1454749465775,3130.0728987507778
42,2232.419772197013,3173.6297681511273
43,2191.4257614205308,3117.1120513397786
44,2191.4257614205308,3063.9742231741293
45,2191.4257614205308,3071.9056930206843
46,2191.4257614205308,3100.955607949707
47,2191.4257614205308,3109.0057417089956
48,2191.4257614205308,3117.6821157089107
49,2095.7693794649463,3118.7804983946608
50,2095.7693794649463,3155.9729504670227
51,2095.7693794649463,3207.5852532720814
52,2095.7693794649463,3160.386532692837
53,2095.7693794649463,3200.363226272914
54,2095.7693794649463,3244.259899708432
55,2095.7693794649463,3191.4359922026556
56,2095.7693794649463,3242.8767186761424
57,2095.7693794649463,3252.190710685374
58,2095.7693794649463,3194.8718541706476
59,2095.7693794649463,3155.740384211703
60,2095.7693794649463,3142.548132302534
61,2095.7693794649463,3127.232350193137
62,2095.7693794649463,3114.685759076925
63,2095.7693794649463,3050.3876260942848
64,2095.7693794649463,3124.918690400335
65,2084.5539907632815,3097.033747856511
66,2084.5539907632815,3075.4089157720528
67,2008.440142951586,3012.6545037981577
68,2008.440142951586,3064.461345703702
69,2008.440142951586,3087.770144329993
70,2008.440142951586,3038.3465213468157
71,2008.440142951586,3030.639587463998
72,2008.440142951586,3022.0580495227973
73,2008.440142951586,3026.1185997525404
74,2008.440142951586,3008.3058232739627
75,2008.440142951586,3019.783093222043
76,2008.440142951586,3027.550941698128
77,2008.440142951586,3042.9162771360743
78,2008.440142951586,2995.473459900268
79,1939.889275633977,3011.640318504805
80,1939.889275633977,2912.014209726596
81,1939.889275633977,2937.767645728972
82,1939.889275633977,2958.8207267080993
83,1939.889275633977,2957.1745335017795
84,1939.889275633977,2958.2870165462145
85,1939.889275633977,2947.831612013565
86,1939.889275633977,2998.260036311393
87,1939.889275633977,3021.8539968220925
88,1939.889275633977,3091.797406502652
89,1939.889275633977,3091.725461652681
90,1939.889275633977,3029.1844813988178
91,1939.889275633977,3045.0023845062715
92,1939.889275633977,3041.292402718066
93,1939.889275633977,3023.182782608975
94,1939.889275633977,3048.3981670575286
95,1939.889275633977,3010.3037657235573
96,1939.889275633977,2997.698016780115
97,1939.889275633977,3019.85325367423
98,1939.889275633977,3014.106465532292
99,1939.889275633977,2984.598283433673
100,1939.889275633977,2979.4885454153396
101,1939.889275633977,2955.840133392421
102,1939.889275633977,2941.57609965774
103,1939.889275633977,2897.35558033783
104,1939.889275633977,2868.3169113963404
105,1939.889275633977,2921.848850598702
