generation,best_distance,avg_distance
0,2801.970545313478,3453.0717637492453
1,2714.8326950487094,3290.450053572478
2,2714.8326950487094,3161.6279063449883
3,2581.8072850687536,3115.4120719139364
4,2380.112401291225,3016.713321591976
5,2380.112401291225,2919.2658817386837
6,2299.283652789082,2824.2234948396126
7,2252.4755851102395,2705.1184082512295
8,2252.4755851102395,2584.0513099878294
9,2172.5973235536435,2471.157857123573
10,2172.5973235536435,2413.1503488039443
11,2078.9058243113213,2365.9248069226414
12,2078.9058243113213,2325.0005903717097
13,2073.7613172870856,2276.1272086087406
14,2010.2942315563325,2231.2319581793604
15,2010.2942315563325,2158.914309944749
16,1919.3825865972547,2106.529869864875
17,1919.3825865972547,2082.912273322271
18,1919.3825865972547,2048.2028884018428
19,1919.3825865972547,2024.187537264455
20,1919.3825865972547,2020.1531631427436
21,1919.3825865972547,2008.4271863670062
22,1917.2940527451497,2008.621591939149
23,1917.2940527451497,2001.776894171646
24,1875.3371493172156,2016.5160117734754
25,1875.3371493172156,1975.2364241756713
26,1875.3371493172156,1948.7127900493788
27,1875.3371493172156,1911.6596161884452
28,1875.3371493172156,1888.0192598549731
29,1828.1130025673324,1875.284476883996
30,1828.1130025673324,1879.4948909393654
31,1800.0323615776022,1888.0973086131148
32,1800.0323615776022,1874.2716080188925
33,1800.0323615776022,1861.1453931614926
34,1797.2402325111752,1837.4194609724975
35,1772.5918235968165,1823.2646167893224
36,1772.5918235968165,1802.4134201481468
37,1772.5918235968165,1795.6060772436476
38,1772.5918235968165,1782.3853895835211
39,1771.4638385276112,1780.0562469727715
40,1771.4638385276112,1777.1464813680273
41,1771.4638385276112,1778.9515982111334
42,1771.4638385276112,1775.3629615873488
43,1771.4638385276112,1776.3646465718543
44,1771.4638385276112,1780.95060481268
45,1771.4638385276112,1779.4845986612606
46,1771.4638385276112,1771.463838527612
47,1771.4638385276112,1784.310933729016
48,1771.4638385276112,1778.4186732736603
49,1771.4638385276112,1779.1088934020604
50,1771.4638385276112,1777.6069919777913
51,1771.4638385276112,1780.560735460245
52,1771.4638385276112,1777.6756682856064
53,1771.4638385276112,1775.173340503176
54,1771.4638385276112,1782.2508572801976
55,1771.4638385276112,1776.811736565446
56,1751.0441240750586,1772.9084649684808
57,1751.0441240750586,1786.8724113339142
58,1751.0441240750586,1788.3227673243628
59,1734.395580030083,1816.5706143851744
60,1734.395580030083,1801.0130129477714
61,1734.395580030083,1782.9788138971905
62,1734.395580030083,1771.7974454214473
63,1734.395580030083,1771.735200431649
64,1734.395580030083,1756.748021511439
65,1734.395580030083,1739.9526275184398
66,1734.395580030083,1736.9614063463384
67,1734.395580030083,1750.853785319815
68,1734.395580030083,1743.6032458870563
69,1734.395580030083,1746.9328321051448
70,1734.395580030083,1741.4175365010422
71,1734.395580030083,1741.7230551301916
72,1723.744311887827,1735.8069674332555
73,1723.744311887827,1734.2890673486604
74,1723.744311887827,1741.2451017188373
75,1723.744311887827,1746.7158261490447
76,1723.744311887827,1756.881557382924
77,1723.744311887827,1759.5208240055413
78,1723.744311887827,1731.3833398617367
79,1723.744311887827,1736.7144046210178
80,1723.744311887827,1728.616007251183
81,1723.744311887827,1728.896845905136
82,1723.744311887827,1737.3748997098637
83,1723.744311887827,1726.5000873366744
84,1723.744311887827,1725.6349199279014
85,1723.744311887827,1724.5638679054664
86,1723.744311887827,1725.2447491738794
87,1723.744311887827,1724.3648244824142
88,1723.744311887827,1733.9495071722038
89,1723.744311887827,1723.7443118878268
90,1723.7443118878268,1730.6586515627016
91,1723.7443118878268,1733.2840834093042
92,1723.7443118878268,1744.2886136420036
93,1723.7443118878268,1751.9920194883464
94,1723.7443118878268,1753.973897000198
95,1723.7443118878268,1742.7973682493287
96,1723.7443118878268,1744.618744324085
97,1723.7443118878268,1763.610792065275
98,1723.7443118878268,1760.624322306478
99,1723.7443118878268,1782.7582186932987
100,1723.7443118878268,1774.1822011540405
101,1723.7443118878268,1787.841178247154
102,1723.7443118878268,1815.0364727723447
103,1723.7443118878268,1843.3364164503928
104,1723.7443118878268,1826.3991533985186
105,1723.7443118878268,1903.1258792977926
106,1723.7443118878268,1902.0675577745224
107,1723.7443118878268,1847.9343307461415
108,1723.7443118878268,1750.6469377187796
109,1723.7443118878268,1729.6211655533618
110,1723.7443118878268,1725.9882076198933
111,1723.7443118878268,1731.498738016974
112,1723.7443118878268,1725.8355402395357
113,1723.7443118878268,1733.5534331203112
114,1723.7443118878268,1728.6192108660182
115,1723.7443118878268,1725.5116801503766
116,1723.7443118878268,1727.3560558330992
117,1723.413139083986,1730.769873846654
118,1723.413139083986,1729.5451485975138
119,1723.413139083986,1733.4112907441358
120,1723.413139083986,1730.540582874809
121,1723.413139083986,1729.7854072034847
122,1723.413139083986,1732.2222254729763
123,1723.413139083986,1728.1512506511663
124,1723.413139083986,1724.4957448256057
125,1723.413139083986,1724.1703782064299
126,1723.413139083986,1725.2864334167523
127,1723.413139083986,1726.4309578100804
128,1723.413139083986,1724.6028394889458
129,1723.413139083986,1723.9272825094208
130,1723.413139083986,1724.1752554907848
131,1723.413139083986,1729.2393640702887
132,1723.413139083986,1724.2916219202766
133,1723.413139083986,1729.3620822390887
134,1723.413139083986,1723.413139083986
135,1723.413139083986,1725.4285517192482
136,1723.413139083986,1729.7019199192523
137,1723.413139083986,1726.7496110644843
138,1723.413139083986,1726.1050328093709
139,1723.413139083986,1728.6029995799138
140,1723.413139083986,1730.8009301069985
141,1719.755515982478,1727.9167515563092
142,1719.755515982478,1730.2021567207983
143,1719.755515982478,1732.6034437412745
144,1719.755515982478,1727.1951565014842
145,1719.755515982478,1723.3902708149724
146,1719.755515982478,1728.808970139094
147,1719.755515982478,1729.4376291913825
148,1709.9587062810124,1720.9220855381175
149,1709.9587062810124,1721.4542690653557
150,1709.9587062810124,1725.2126489526722
151,1709.9587062810124,1716.962471575057
152,1709.9587062810124,1721.727094036318
